Time(Sec),P(W/cm2)
0,0.4974364
1,0.4985573
2,0.4965646
3,0.4951115
4,0.493783
5,0.4927451
6,0.4917487
7,0.4908768
8,0.490088
9,0.4894238
10,0.4895898
11,0.4889256
12,0.4883858
13,0.4879291
14,0.487431
15,0.4869743
16,0.4865591
17,0.486144
18,0.4857288
19,0.4853967
20,0.485023
21,0.4846909
22,0.4843588
23,0.4841096
24,0.4837775
25,0.4835284
26,0.4832793
27,0.4830302
28,0.4827396
29,0.482532
30,0.482283
31,0.4820753
32,0.4818263
33,0.4816187
34,0.4814111
35,0.4812035
36,0.4809959
37,0.4808299
38,0.4806638
39,0.4804562
40,0.479958
41,0.4797919
42,0.4796259
43,0.4795013
44,0.4792937
45,0.4791692
46,0.4789616
47,0.4787955
48,0.478671
49,0.4785464
50,0.4787955
51,0.478671
52,0.4785464
53,0.4783804
54,0.4782558
55,0.4781728
56,0.4780068
57,0.4778822
58,0.4777161
59,0.4776331
60,0.4771764
61,0.4770519
62,0.4769689
63,0.4768443
64,0.4767613
65,0.4766367
66,0.4765537
67,0.4764291
68,0.4763461
69,0.4762215
70,0.4757233
71,0.4755988
72,0.4755157
73,0.4754743
74,0.4753082
75,0.4752252
76,0.4751421
77,0.4750176
78,0.4749345
79,0.4748515
80,0.4753912
81,0.4753082
82,0.4752251
83,0.4751421
84,0.4750591
85,0.4749345
86,0.474893
87,0.47481
88,0.4746855
89,0.4746439
90,0.4746024
91,0.4745194
92,0.4744779
93,0.4744364
94,0.4742703
95,0.4742288
96,0.4741457
97,0.4740627
98,0.4739797
99,0.4738966
100,0.4738551
101,0.4737305
102,0.473689
103,0.4735645
104,0.473523
105,0.47344
106,0.4733569
107,0.4732739
108,0.4732324
109,0.4731493
110,0.4725266
111,0.4724851
112,0.472402
113,0.472319
114,0.472236
115,0.4721944
116,0.4721114
117,0.4720699
118,0.4719869
119,0.4719454
120,0.4724436
121,0.4723605
122,0.472319
123,0.4722775
124,0.4721944
125,0.4721944
126,0.4720699
127,0.4720284
128,0.4719869
129,0.4719039
130,0.4714886
131,0.4714056
132,0.4713641
133,0.4712811
134,0.471198
135,0.4711566
136,0.471115
137,0.471032
138,0.4709904
139,0.4709074
140,0.4708659
141,0.4707829
142,0.4707414
143,0.4706583
144,0.4706168
145,0.4705753
146,0.4704923
147,0.4704507
148,0.4704092
149,0.4703677
150,0.469994
151,0.469911
152,0.4698695
153,0.469828
154,0.469745
155,0.4697035
156,0.4696619
157,0.4696205
158,0.4695374
159,0.4694959
160,0.4701601
161,0.4700771
162,0.4700356
163,0.4699526
164,0.4699111
165,0.4698695
166,0.4697865
167,0.469745
168,0.4696619
169,0.4696204
170,0.4695789
171,0.4695789
172,0.4694959
173,0.4694129
174,0.4693714
175,0.4693298
176,0.4692883
177,0.4692053
178,0.4691637
179,0.4690807
180,0.4684165
181,0.468375
182,0.4682919
183,0.4682504
184,0.4682089
185,0.4681674
186,0.4681259
187,0.4680428
188,0.4680013
189,0.4680013
190,0.4681674
191,0.4681258
192,0.4680843
193,0.4680428
194,0.4680013
195,0.4679598
196,0.4679183
197,0.4678767
198,0.4678767
199,0.4678352
200,0.4678352
201,0.4677937
202,0.4677107
203,0.4676692
204,0.4676692
205,0.4675446
206,0.4675031
207,0.4674615
208,0.4674201
209,0.4674201
210,0.4677107
211,0.4676692
212,0.4676277
213,0.4675446
214,0.4675031
215,0.4674616
216,0.4673786
217,0.467337
218,0.4672955
219,0.467254
220,0.4665067
221,0.4664652
222,0.4664237
223,0.4663821
224,0.4663406
225,0.4662991
226,0.4662576
227,0.4661746
228,0.4661746
229,0.466133
230,0.4667973
231,0.4667973
232,0.4667143
233,0.4666727
234,0.4666313
235,0.4666313
236,0.4665897
237,0.4665482
238,0.4664652
239,0.4664237
240,0.4658009
241,0.4657594
242,0.4657179
243,0.4656764
244,0.4655933
245,0.4655933
246,0.4655518
247,0.4655103
248,0.4655103
249,0.4654273
250,0.4654273
251,0.4653858
252,0.4653442
253,0.4653027
254,0.4653027
255,0.4652612
256,0.4652197
257,0.4652197
258,0.4651367
259,0.4651782
260,0.4657594
261,0.4657179
262,0.4656763
263,0.4656763
264,0.4656349
265,0.4656349
266,0.4655933
267,0.4655518
268,0.4655518
269,0.4655103
270,0.4654688
271,0.4654273
272,0.4653858
273,0.4653442
274,0.4653442
275,0.4653027
276,0.4652612
277,0.4652197
278,0.4651782
279,0.4651782
280,0.4651367
281,0.4650952
282,0.4650952
283,0.4650536
284,0.4650121
285,0.4649706
286,0.4649291
287,0.4648876
288,0.4648876
289,0.4648045
290,0.4640988
291,0.4640572
292,0.4640157
293,0.4639742
294,0.4639742
295,0.4639327
296,0.4638496
297,0.4638081
298,0.4638496
299,0.4637666
300,0.4640157
301,0.4640157
302,0.4639742
303,0.4639326
304,0.4638912
305,0.4638496
306,0.4638081
307,0.4637666
308,0.4637251
309,0.4636836
310,0.4640157
311,0.4639742
312,0.4639742
313,0.4638912
314,0.4638497
315,0.4638081
316,0.4638081
317,0.4637251
318,0.4637251
319,0.4636836
320,0.4632684
321,0.4632269
322,0.4631854
323,0.4631439
324,0.4631024
325,0.4631024
326,0.4630608
327,0.4630193
328,0.4629778
329,0.4629363
330,0.4632684
331,0.4632269
332,0.4631854
333,0.4631439
334,0.4631024
335,0.4630609
336,0.4630193
337,0.4629778
338,0.4629363
339,0.4628948
340,0.4628533
341,0.4628533
342,0.4628117
343,0.4627702
344,0.4627287
345,0.4626872
346,0.4626457
347,0.4626042
348,0.4625627
349,0.4625211
350,0.4618153
351,0.4617739
352,0.4617739
353,0.4616908
354,0.4616908
355,0.4616908
356,0.4616493
357,0.4616077
358,0.4616077
359,0.4616077
360,0.4618984
361,0.4618569
362,0.4618569
363,0.4618153
364,0.4617738
365,0.4617738
366,0.4617738
367,0.4617323
368,0.4616908
369,0.4616908
370,0.4616493
371,0.4616077
372,0.4616077
373,0.4616077
374,0.4615247
375,0.4615247
376,0.4614832
377,0.4614417
378,0.4614417
379,0.4614002
380,0.4617738
381,0.4617738
382,0.4616908
383,0.4616908
384,0.4616908
385,0.4616493
386,0.4616078
387,0.4615663
388,0.4615663
389,0.4614832
390,0.4607774
391,0.4607774
392,0.4607359
393,0.4606944
394,0.4606944
395,0.4606944
396,0.4606944
397,0.4606529
398,0.4606113
399,0.4606113
400,0.4605284
401,0.4604868
402,0.4604868
403,0.4604453
404,0.4604038
405,0.4604038
406,0.4604038
407,0.4604038
408,0.4603623
409,0.4603623
410,0.4610681
411,0.4610681
412,0.4610681
413,0.4610681
414,0.4610266
415,0.4610266
416,0.4610266
417,0.460985
418,0.460985
419,0.4609435
420,0.4609435
421,0.460902
422,0.460902
423,0.4608605
424,0.460902
425,0.4608605
426,0.4608189
427,0.4607774
428,0.4607774
429,0.4607359
430,0.4604038
431,0.4603623
432,0.4603208
433,0.4603208
434,0.4602792
435,0.4602378
436,0.4602378
437,0.4601962
438,0.4601547
439,0.4601547
440,0.4604038
441,0.4604038
442,0.4603207
443,0.4603207
444,0.4602792
445,0.4602377
446,0.4602377
447,0.4601962
448,0.4601547
449,0.4601132
450,0.4598226
451,0.4598226
452,0.4598226
453,0.459781
454,0.459781
455,0.4597395
456,0.4597395
457,0.459698
458,0.459698
459,0.4596565
460,0.4599056
461,0.4598641
462,0.4598226
463,0.459781
464,0.459781
465,0.459781
466,0.4597395
467,0.459698
468,0.4596565
469,0.4596565
470,0.4596565
471,0.459615
472,0.459615
473,0.4595735
474,0.459532
475,0.4594904
476,0.4594904
477,0.4594489
478,0.4594489
479,0.4594074
480,0.4593659
481,0.4593244
482,0.4593244
483,0.4592828
484,0.4592828
485,0.4592413
486,0.4592413
487,0.4591998
488,0.4591583
489,0.4591583
490,0.4591168
491,0.4590753
492,0.4590753
493,0.4590338
494,0.4590338
495,0.4589923
496,0.4589923
497,0.4589923
498,0.4589507
499,0.4589092
500,0.4581204
501,0.4581204
502,0.4580789
503,0.4580374
504,0.4580374
505,0.4580374
506,0.4579543
507,0.4579128
508,0.4579128
509,0.4579128
510,0.4583695
511,0.4582864
512,0.4582864
513,0.4582864
514,0.4582864
515,0.458245
516,0.4582034
517,0.4582034
518,0.4581619
519,0.4581619
520,0.458328
521,0.4582864
522,0.458245
523,0.458245
524,0.4582034
525,0.458245
526,0.4582034
527,0.4581619
528,0.4581204
529,0.4580789
530,0.4580789
531,0.4580374
532,0.4580374
533,0.4580374
534,0.4579959
535,0.4579543
536,0.4579543
537,0.4579128
538,0.4579128
539,0.4579128
540,0.4578713
541,0.4578713
542,0.4578713
543,0.4578713
544,0.4578298
545,0.4578298
546,0.4577882
547,0.4577882
548,0.4577468
549,0.4577052
550,0.4574561
551,0.4574147
552,0.4573731
553,0.4573731
554,0.4573731
555,0.4573316
556,0.4573316
557,0.4572901
558,0.4572901
559,0.4572485
560,0.4574561
561,0.4574147
562,0.4574147
563,0.4573731
564,0.4573316
565,0.4573316
566,0.4572901
567,0.4572901
568,0.4572485
569,0.4572485
570,0.457207
571,0.4571655
572,0.457124
573,0.457124
574,0.4570825
575,0.4570825
576,0.457041
577,0.4569995
578,0.4569995
579,0.4569579
580,0.4565843
581,0.4565843
582,0.4565428
583,0.4565013
584,0.4564597
585,0.4564597
586,0.4563767
587,0.4563767
588,0.4563352
589,0.4562937
590,0.4565843
591,0.4565843
592,0.4565428
593,0.4565428
594,0.4565013
595,0.4564597
596,0.4564183
597,0.4564183
598,0.4563767
599,0.4563767
600,0.4563352
601,0.4563352
602,0.4560446
603,0.4552143
604,0.4543424
605,0.4533875
606,0.4523911
607,0.4514363
608,0.4504399
609,0.4493189
610,0.4474507
611,0.4462052
612,0.4451258
613,0.4437973
614,0.4423857
615,0.4410987
616,0.4396456
617,0.438151
