Time(Sec),P(W/cm2)
402,0.4418522
403,0.4418125
404,0.4418522
405,0.4418522
406,0.4418522
407,0.4418125
408,0.4418522
409,0.4418125
410,0.4413364
411,0.4413761
412,0.4413761
413,0.4413364
414,0.4412967
415,0.4413761
416,0.4413761
417,0.4413364
418,0.4413761
419,0.4413364
420,0.4417728
421,0.4417331
422,0.4417331
423,0.4417331
424,0.4417331
425,0.4417331
426,0.4416935
427,0.4416935
428,0.4416935
429,0.4416935
430,0.4409793
431,0.4409793
432,0.4409793
433,0.4409396
434,0.4409396
435,0.4409396
436,0.4408999
437,0.4408999
438,0.4408999
439,0.4409396
440,0.4408999
441,0.4408206
442,0.4408603
443,0.4408603
444,0.4408206
445,0.4408206
446,0.4408603
447,0.4408603
448,0.4408603
449,0.4408999
450,0.4415348
451,0.4415744
452,0.4415744
453,0.4415744
454,0.4415744
455,0.4415744
456,0.4415744
457,0.4415348
458,0.4415744
459,0.4415744
460,0.4409793
461,0.441019
462,0.4409793
463,0.4409793
464,0.4409396
465,0.4409793
466,0.4409396
467,0.4409396
468,0.4409396
469,0.4408603
470,0.4415348
471,0.4415348
472,0.4414951
473,0.4414554
474,0.4414554
475,0.4414157
476,0.4414157
477,0.4413761
478,0.4413364
479,0.4413364
480,0.441257
481,0.441257
482,0.441257
483,0.441257
484,0.441257
485,0.441257
486,0.4412173
487,0.441257
488,0.4412967
489,0.4412967
490,0.4413364
491,0.4413364
492,0.4413364
493,0.4413761
494,0.4413761
495,0.4414157
496,0.4414157
497,0.4413761
498,0.4414157
499,0.4414157
500,0.4407016
501,0.4407412
502,0.4407412
503,0.4407809
504,0.4407412
505,0.4407809
506,0.4407809
507,0.4407809
508,0.4408206
509,0.4408206
510,0.4415348
511,0.4414951
512,0.4414951
513,0.4414951
514,0.4414951
515,0.4414554
516,0.4414554
517,0.4414554
518,0.4414554
519,0.4414554
520,0.4414157
521,0.4414157
522,0.4414157
523,0.4413761
524,0.4413761
525,0.4413761
526,0.4413761
527,0.4413364
528,0.4413364
529,0.4413364
530,0.4412967
531,0.4412967
532,0.441257
533,0.441257
534,0.441257
535,0.441257
536,0.4412173
537,0.4411777
538,0.4411777
539,0.441138
540,0.441138
541,0.441138
542,0.4410983
543,0.441138
544,0.4410983
545,0.441138
546,0.441138
547,0.441138
548,0.4412173
549,0.4411777
550,0.4412173
551,0.441257
552,0.4412173
553,0.441257
554,0.441257
555,0.441257
556,0.441257
557,0.4412967
558,0.4412967
559,0.4412967
560,0.4412967
561,0.4412967
562,0.4412967
563,0.4413364
564,0.4413761
565,0.4414157
566,0.4414157
567,0.4414157
568,0.4413761
569,0.4413761
570,0.4413364
571,0.4413364
572,0.4412967
573,0.4412967
574,0.441257
575,0.441257
576,0.4412173
577,0.4411777
578,0.4411777
579,0.4411777
580,0.441138
581,0.441138
582,0.4410983
583,0.441138
584,0.4410983
585,0.4410983
586,0.4410983
587,0.4410983
588,0.4410983
589,0.4410983
590,0.4410983
591,0.4410983
592,0.4410983
593,0.4410983
594,0.4410983
595,0.4410587
596,0.4410587
597,0.4410587
598,0.4410587
599,0.4410587
600,0.4408206
601,0.4407809
602,0.4407809
603,0.4407809
604,0.4407809
605,0.4407412
606,0.4407412
607,0.4407412
608,0.4407412
609,0.4407412
610,0.441019
611,0.4409793
612,0.4409793
613,0.4409793
614,0.4409793
615,0.441019
616,0.4410587
617,0.441019
618,0.4410587
619,0.4410587
620,0.4410587
621,0.4410587
622,0.4410983
623,0.4410983
624,0.441138
625,0.4410983
626,0.4410983
627,0.4410983
628,0.4410983
629,0.4410587
630,0.4410587
631,0.4410587
632,0.4410587
633,0.441019
634,0.441019
635,0.4409793
636,0.4409793
637,0.4409793
638,0.4409793
639,0.4409793
640,0.4406619
641,0.4406619
642,0.4406222
643,0.4406222
644,0.4406222
645,0.4405826
646,0.4406222
647,0.4405826
648,0.4405826
649,0.4405826
650,0.4402651
651,0.4402255
652,0.4402255
653,0.4402255
654,0.4402651
655,0.4402651
656,0.4403048
657,0.4403445
658,0.4403445
659,0.4403445
660,0.4404239
661,0.4404635
662,0.4404635
663,0.4404635
664,0.4404635
665,0.4404239
666,0.4405032
667,0.4404635
668,0.4405032
669,0.4404635
670,0.4408206
671,0.4408206
672,0.440781
673,0.440781
674,0.4408206
675,0.4408206
676,0.440781
677,0.440781
678,0.440781
679,0.440781
680,0.4403445
681,0.4403445
682,0.4403445
683,0.4403048
684,0.4403445
685,0.4403048
686,0.4403048
687,0.4403445
688,0.4403048
689,0.4403048
690,0.4404238
691,0.4404238
692,0.4404238
693,0.4404635
694,0.4404635
695,0.4404238
696,0.4404635
697,0.4404635
698,0.4404238
699,0.4404238
700,0.4404239
701,0.4404239
702,0.4403841
703,0.4404239
704,0.4404239
705,0.4404239
706,0.4404239
707,0.4403841
708,0.4404239
709,0.4403841
710,0.441019
711,0.441019
712,0.4410587
713,0.441019
714,0.441019
715,0.441019
716,0.4410587
717,0.441019
718,0.4410587
719,0.4410587
720,0.441019
721,0.441019
722,0.441019
723,0.4409793
724,0.4409793
725,0.4409397
726,0.4409793
727,0.4409793
728,0.4409793
729,0.4409397
730,0.4409
731,0.4409396
732,0.4409396
733,0.4409396
734,0.4409
735,0.4409
736,0.4409
737,0.4408603
738,0.4408603
739,0.4408603
740,0.4408999
741,0.4408603
742,0.4408603
743,0.4408603
744,0.4408206
745,0.4408206
746,0.4407809
747,0.4407809
748,0.4407809
749,0.4408206
750,0.4408206
751,0.4408206
752,0.4408206
753,0.4408206
754,0.4408603
755,0.4408603
756,0.4408603
757,0.4408603
758,0.4408603
