Time(Sec),P(W/cm2)
0,0.3682269
1,0.3707459
2,0.3692345
3,0.3680719
4,0.3669868
5,0.3660955
6,0.3654366
7,0.3647778
8,0.364274
9,0.3637702
10,0.3629951
11,0.3626076
12,0.3621813
13,0.3618713
14,0.3615225
15,0.3611737
16,0.3609024
17,0.3605924
18,0.3603599
19,0.3600886
20,0.3600886
21,0.3599336
22,0.3597011
23,0.3594685
24,0.3592748
25,0.359081
26,0.358926
27,0.358771
28,0.3586159
29,0.358461
30,0.3583059
31,0.3581122
32,0.3579959
33,0.3578797
34,0.3577634
35,0.3576859
36,0.3575696
37,0.3574534
38,0.3573371
39,0.3572596
40,0.3572208
41,0.3571046
42,0.3570271
43,0.3569496
44,0.356872
45,0.3567945
46,0.356717
47,0.3566008
48,0.356562
49,0.3564845
50,0.3564845
51,0.3563682
52,0.3563295
53,0.3562132
54,0.3561357
55,0.3561357
56,0.3559807
57,0.355942
58,0.3558644
59,0.3557869
60,0.3556707
61,0.3555932
62,0.3555156
63,0.3555156
64,0.3554769
65,0.3553994
66,0.3553607
67,0.3553219
68,0.3552444
69,0.3552056
70,0.3551281
71,0.3550894
72,0.3550506
73,0.3550119
74,0.3549731
75,0.3549344
76,0.3548956
77,0.3548956
78,0.3548568
79,0.3548568
80,0.3548181
81,0.3547794
82,0.3547406
83,0.3547406
84,0.3547018
85,0.3546631
86,0.3546631
87,0.3546243
88,0.3546243
89,0.3545856
90,0.3545856
91,0.3545468
92,0.354508
93,0.354508
94,0.354508
95,0.3544693
96,0.3544693
97,0.3544306
98,0.3543918
99,0.3544306
100,0.3543918
101,0.3543531
102,0.3543143
103,0.3543143
104,0.3542368
105,0.354198
106,0.3541593
107,0.3541593
108,0.3541593
109,0.3540818
110,0.3541593
111,0.3540818
112,0.3540818
113,0.354043
114,0.3540043
115,0.3540043
116,0.3539655
117,0.3539267
118,0.353888
119,0.3538492
120,0.3538105
121,0.3537717
122,0.3537717
123,0.3537717
124,0.353733
125,0.3536942
126,0.3536555
127,0.3536167
128,0.3535392
129,0.3535392
130,0.3535392
131,0.3535005
132,0.3534617
133,0.3534617
134,0.3534617
135,0.353423
136,0.353423
137,0.353423
138,0.3533842
139,0.3533455
140,0.3528029
141,0.3527641
142,0.3526866
143,0.3526866
144,0.3526479
145,0.3526866
146,0.3526866
147,0.3526866
148,0.3526866
149,0.3526479
150,0.3530742
151,0.3530354
152,0.3530742
153,0.3530354
154,0.3529967
155,0.3529967
156,0.3530354
157,0.3529967
158,0.3529579
159,0.3529967
160,0.3527642
161,0.3528029
162,0.3527642
163,0.3528417
164,0.3528417
165,0.3528029
166,0.3528029
167,0.3528417
168,0.3527642
169,0.3527642
170,0.3529967
171,0.3529579
172,0.3529579
173,0.3529579
174,0.3529192
175,0.3528804
176,0.3528416
177,0.3528416
178,0.3528029
179,0.3528029
180,0.3525316
181,0.3524929
182,0.3524541
183,0.3523766
184,0.3523766
185,0.3523766
186,0.3523766
187,0.3522991
188,0.3523378
