Time(Sec),P(W/cm2)
0,0.6197042
1,0.6234604
2,0.6232971
3,0.6222355
4,0.621174
5,0.6199083
6,0.6189691
7,0.6182751
8,0.6173768
9,0.6167643
10,0.616111
11,0.6154578
12,0.6150495
13,0.6143962
14,0.6139471
15,0.6135388
16,0.6131305
17,0.6128447
18,0.612518
19,0.6121506
20,0.6119873
21,0.6117014
22,0.6112932
23,0.6110073
24,0.6108848
25,0.610844
26,0.6106807
27,0.6103133
28,0.6102315
29,0.6099866
30,0.6099458
31,0.6096599
32,0.6095783
33,0.6095783
34,0.6093741
35,0.6092925
36,0.6091699
37,0.608925
38,0.6090883
39,0.6089658
40,0.6081492
41,0.60819
42,0.6080675
43,0.6078226
44,0.6076592
45,0.6077409
46,0.6076184
47,0.6077001
48,0.6076184
49,0.6075776
50,0.6068835
51,0.6069652
52,0.6069243
53,0.6068019
54,0.6065569
55,0.606516
56,0.6066386
57,0.6065977
58,0.606516
59,0.6063528
60,0.6074552
61,0.6072102
62,0.6072918
63,0.6071285
64,0.6070468
65,0.6070877
66,0.6070877
67,0.6069652
68,0.607006
69,0.6069243
70,0.6058219
71,0.6059852
72,0.6057811
73,0.6056994
74,0.6059444
75,0.6056994
76,0.6056177
77,0.6057402
78,0.6056586
79,0.6056586
80,0.6064752
81,0.6065568
82,0.6064344
83,0.6063527
84,0.6064752
85,0.6064752
86,0.6063527
87,0.6061894
88,0.6062302
89,0.6064752
90,0.6052503
91,0.6051687
92,0.6050869
93,0.6052911
94,0.6050462
95,0.6052911
96,0.6051278
97,0.6052095
98,0.6050869
99,0.6050053
100,0.6061077
101,0.6060261
102,0.6061485
103,0.6059036
104,0.6059443
105,0.6060669
106,0.6059036
107,0.6058219
108,0.6059036
109,0.6061077
110,0.6059443
111,0.6059852
112,0.6059852
113,0.6060261
114,0.6058627
115,0.6058219
116,0.6058219
117,0.6058627
118,0.6057811
119,0.6056177
120,0.6051277
121,0.6051277
122,0.6050869
123,0.6049236
124,0.6050869
125,0.6049236
126,0.6047603
127,0.6049236
128,0.6048011
129,0.6049645
130,0.6052911
131,0.6052503
132,0.6052095
133,0.6052911
134,0.6051278
135,0.6051278
136,0.6051687
137,0.6051687
138,0.6050462
139,0.6049237
140,0.6051278
141,0.6050869
142,0.6051278
143,0.6051278
144,0.6050053
145,0.6048828
146,0.6051687
147,0.6051278
148,0.6050869
149,0.6050053
150,0.6041887
151,0.6040662
152,0.6041071
153,0.6041071
154,0.6039846
155,0.6038621
156,0.6039437
157,0.6040254
158,0.6039437
159,0.6039437
160,0.604842
161,0.6049237
162,0.6047604
163,0.6046379
164,0.6049237
165,0.6048829
166,0.6047604
167,0.6046787
168,0.6045971
169,0.604842
170,0.6047604
171,0.6047195
172,0.6048012
173,0.604842
174,0.6047195
175,0.6047195
176,0.6047604
177,0.6046379
178,0.6047195
179,0.6045971
180,0.6036171
181,0.6036988
182,0.6035763
183,0.6037804
184,0.6036171
185,0.6035763
186,0.6034946
187,0.6034946
188,0.6034946
189,0.6034946
190,0.6043112
191,0.6043929
192,0.6045154
193,0.6041887
194,0.6042296
195,0.6042296
196,0.6043112
197,0.6043521
198,0.6041887
199,0.6043929
200,0.6041479
201,0.6042296
202,0.6042296
203,0.6041888
204,0.6041479
205,0.6042296
206,0.6041888
207,0.6040663
208,0.6042296
209,0.6041888
210,0.6038213
211,0.6036579
212,0.6036171
213,0.6038621
214,0.6036988
215,0.6037804
216,0.6035763
217,0.6034538
218,0.6036171
219,0.6036988
220,0.6035354
221,0.6036171
222,0.6036988
223,0.6034538
224,0.603413
