Time(Sec),P(W/cm2)
0,0.7300555
1,0.7196661
2,0.7148123
3,0.7118439
4,0.7095174
5,0.7076721
6,0.7061478
7,0.7047839
8,0.7035405
9,0.7024574
10,0.7014545
11,0.7005319
12,0.6996093
13,0.698807
14,0.6979245
15,0.6971623
16,0.6964804
17,0.6958386
18,0.6951968
19,0.6946753
20,0.694234
21,0.6937928
22,0.6934719
23,0.6930708
24,0.6927098
25,0.6923888
26,0.6920679
27,0.6918273
28,0.6915865
29,0.6897414
30,0.6897814
31,0.6897814
32,0.68926
33,0.6889791
34,0.6887786
35,0.6886984
36,0.688538
37,0.6882972
38,0.6889791
39,0.6886181
40,0.6880565
41,0.6872543
42,0.6890192
43,0.6897012
44,0.6894605
45,0.6891797
46,0.6890192
47,0.6888989
48,0.6888187
49,0.6886582
50,0.6890594
51,0.6888989
52,0.6887786
53,0.6886984
54,0.688538
55,0.6884978
56,0.6884978
57,0.6884978
58,0.6884176
59,0.6883374
60,0.6882972
61,0.6882169
62,0.6882169
63,0.6881769
64,0.6880565
65,0.6880165
66,0.6879361
67,0.6879763
68,0.6880165
69,0.6880165
70,0.6879361
71,0.6878961
72,0.6878961
73,0.6879361
74,0.687856
75,0.6878961
76,0.687856
77,0.6878158
78,0.6878961
79,0.6878961
80,0.6878961
81,0.6877757
82,0.6878158
83,0.6877757
84,0.6878961
85,0.687856
86,0.6878961
87,0.687856
88,0.687856
89,0.6878158
90,0.6878961
91,0.6878961
92,0.6878961
93,0.6880165
94,0.6878158
95,0.6878961
96,0.6879361
97,0.6878961
98,0.687856
99,0.6879763
100,0.6880165
101,0.6881368
102,0.6881368
103,0.6881368
104,0.6881368
105,0.6880966
106,0.6880165
107,0.6878961
108,0.6879361
109,0.6879361
110,0.6880164
111,0.6880164
112,0.6880566
113,0.6879763
114,0.6878962
115,0.6879763
116,0.6881368
117,0.6880164
118,0.6879362
119,0.6879362
120,0.6877357
121,0.6878961
122,0.6878961
123,0.6878158
124,0.6877357
125,0.6876955
126,0.6877357
127,0.6879361
128,0.6879361
129,0.687856
130,0.6868932
131,0.6867729
132,0.686813
133,0.6868532
134,0.6868932
135,0.6868532
136,0.6869334
137,0.6869334
138,0.6868932
139,0.686813
140,0.6878159
141,0.6879362
142,0.6880164
143,0.6879362
144,0.6879362
145,0.6879763
146,0.6879763
147,0.6879763
148,0.6879763
149,0.6879362
150,0.6878962
151,0.687856
152,0.6878962
153,0.6878962
154,0.6880164
155,0.687856
156,0.6879362
157,0.687856
158,0.687856
159,0.687856
160,0.6868531
161,0.6867729
162,0.6866927
163,0.6867328
164,0.6868531
165,0.6867729
166,0.6868131
167,0.6868932
168,0.6868531
169,0.6867328
170,0.6878159
171,0.687856
172,0.687856
173,0.687856
174,0.6878962
175,0.6880566
176,0.6880164
177,0.6879362
178,0.6879362
179,0.6879362
180,0.687856
181,0.687856
182,0.6878158
183,0.687856
184,0.6879763
185,0.6878961
186,0.6878158
187,0.687856
188,0.6879763
189,0.6879361
190,0.6878961
191,0.6878158
192,0.687856
193,0.6878961
194,0.6880165
195,0.6878158
196,0.6877757
197,0.6877757
198,0.6875751
199,0.6876153
200,0.6876153
201,0.6876554
202,0.6877757
203,0.6877757
204,0.6877357
205,0.6876554
206,0.6877357
207,0.6876955
208,0.6876554
209,0.6876955
210,0.6876955
211,0.6876153
212,0.6875351
213,0.6875751
214,0.6876554
215,0.6877357
216,0.6877757
217,0.6878961
218,0.6878158
219,0.6879361
220,0.6880164
221,0.6880566
222,0.688177
223,0.6880164
224,0.6880566
225,0.6878962
226,0.6879763
227,0.6879362
228,0.6878962
229,0.6878962
230,0.6873345
231,0.6872141
232,0.6872141
233,0.6872141
234,0.6872944
235,0.6874949
236,0.687535
237,0.6874949
238,0.6874949
239,0.6874549
240,0.6879362
241,0.6878962
242,0.6877758
243,0.6877758
244,0.6877356
245,0.6877356
246,0.6875752
247,0.6876955
248,0.6876555
249,0.6876955
250,0.6876153
251,0.6875751
252,0.6875751
253,0.687495
254,0.6875351
255,0.6875351
256,0.6875751
257,0.6875751
258,0.6876153
259,0.6876554
260,0.6876153
261,0.6875751
262,0.6877357
263,0.6876554
264,0.6875751
265,0.687495
266,0.6875351
267,0.6875751
268,0.6876153
269,0.6876153
270,0.6876554
271,0.6876153
272,0.6875751
273,0.6876153
274,0.6876554
275,0.6876153
276,0.6876554
277,0.6876153
278,0.6875351
279,0.6875751
280,0.6876554
281,0.6876955
282,0.6876955
283,0.6876554
284,0.6876554
285,0.6876955
286,0.6874548
287,0.6874548
288,0.6874147
289,0.687495
290,0.6860509
291,0.686091
292,0.6862514
293,0.6861712
294,0.686131
295,0.6860107
296,0.6859706
297,0.6861712
298,0.6860509
299,0.686813
300,0.6868531
301,0.6868531
302,0.6859306
303,0.6873344
304,0.6877757
305,0.6876955
306,0.6884175
307,0.6883373
308,0.6884577
309,0.6883775
310,0.6878559
311,0.6878158
312,0.6878961
313,0.6879361
314,0.6878559
315,0.6877355
316,0.6876554
317,0.6876554
318,0.6876554
319,0.6874949
320,0.6880565
321,0.6880165
322,0.687856
323,0.687856
324,0.6878158
325,0.6878158
326,0.6878158
327,0.6876153
328,0.6876955
329,0.6876153
330,0.6869735
331,0.6868932
332,0.6868932
333,0.6869735
334,0.6868131
335,0.6868131
336,0.6867729
337,0.6867729
338,0.6869334
339,0.6868932
340,0.6869334
341,0.6868932
342,0.6869334
343,0.6868932
344,0.6868531
345,0.6868531
346,0.6868932
347,0.6868531
348,0.6868131
349,0.6868932
350,0.6873344
351,0.6872543
352,0.6872141
353,0.687174
354,0.687174
355,0.6872944
356,0.6872141
357,0.6872141
358,0.687174
359,0.687134
360,0.6870938
361,0.6872141
362,0.6869735
363,0.6870136
364,0.6870536
365,0.6870136
366,0.6870938
367,0.6870938
368,0.687174
369,0.687174
370,0.6870536
371,0.6870136
372,0.6870938
373,0.6870536
374,0.687134
375,0.687174
376,0.6872141
377,0.6873344
378,0.6872944
379,0.687134
380,0.6870536
381,0.687134
382,0.6872944
383,0.6872543
384,0.6872543
385,0.6872543
386,0.6872944
387,0.6872944
388,0.687174
389,0.6870536
390,0.6872543
391,0.687134
392,0.6870537
393,0.6870537
394,0.6870136
395,0.6869735
396,0.6869735
397,0.6871741
398,0.6870537
399,0.6870938
400,0.6872543
401,0.6872944
402,0.6872944
403,0.687174
404,0.6870938
405,0.6870136
406,0.6870136
407,0.6869735
408,0.6870136
409,0.6869735
410,0.6861712
411,0.6861311
412,0.6862113
413,0.6862515
414,0.6861712
415,0.6861311
416,0.686091
417,0.6861311
418,0.686091
419,0.6861712
420,0.6859305
421,0.6858502
422,0.6858904
423,0.6860509
424,0.6858904
425,0.686091
426,0.6861311
427,0.6860107
428,0.6860107
429,0.6862113
430,0.6869735
431,0.6868932
432,0.6869334
433,0.6869735
434,0.6870136
435,0.6869735
436,0.6868531
437,0.686813
438,0.6868531
439,0.686813
440,0.6863717
441,0.6863717
442,0.6863717
443,0.6863717
444,0.6864921
445,0.6864921
446,0.6864119
447,0.6863717
448,0.6862915
449,0.6863717
450,0.6868932
451,0.6868932
452,0.6867729
453,0.6868932
454,0.6868531
455,0.6867729
456,0.6867328
457,0.6867328
458,0.6866926
459,0.6867328
460,0.6866124
461,0.6867328
462,0.6867328
463,0.686813
464,0.6867328
465,0.6866926
466,0.6868531
467,0.6866124
468,0.6867328
469,0.6866124
470,0.6865723
471,0.6865723
472,0.6866124
473,0.6864921
474,0.6865322
475,0.6865322
476,0.6866926
477,0.6866526
478,0.6866526
479,0.6865322
480,0.6865723
481,0.6866124
482,0.6866926
483,0.6867729
484,0.6868531
485,0.6867729
486,0.6867328
487,0.6866926
488,0.6866526
489,0.6866526
490,0.6866926
491,0.6866124
492,0.6866526
493,0.6867729
494,0.6867729
495,0.6867328
496,0.6866926
497,0.6865723
498,0.6865723
499,0.6865723
500,0.6865322
501,0.6866124
502,0.6867328
503,0.6867328
504,0.686813
505,0.6868531
506,0.6869334
507,0.6868932
508,0.6868531
509,0.686813
510,0.6867729
511,0.6867328
512,0.6867729
513,0.6866926
514,0.6865723
515,0.6865723
516,0.6866124
517,0.6866526
518,0.6866526
519,0.6867729
520,0.6869334
521,0.6870136
522,0.6868131
523,0.6868531
524,0.6867328
525,0.6867729
526,0.6870136
527,0.6869735
528,0.6868932
529,0.6868932
530,0.6869334
531,0.6868531
532,0.6867328
533,0.6867729
534,0.6868531
535,0.6868531
536,0.6867328
537,0.6867729
538,0.6868531
539,0.6867328
540,0.6860509
541,0.686131
542,0.686131
543,0.6861712
544,0.686091
545,0.6860509
546,0.686091
547,0.6860107
548,0.6859305
549,0.6859706
550,0.6865723
551,0.6866124
552,0.6865723
553,0.686452
554,0.686452
555,0.6865322
556,0.6866526
557,0.6865322
558,0.686452
559,0.686452
