Time(Sec),P(W/cm2)
0,0.2228676
1,0.2209396
2,0.219815
3,0.2192125
4,0.2187707
5,0.2183289
6,0.2180477
7,0.2177264
8,0.2174452
9,0.2172042
10,0.2170837
11,0.2169231
12,0.2167624
13,0.2166017
14,0.2164411
15,0.2163206
16,0.2162001
17,0.2160394
18,0.2159591
19,0.2158386
20,0.2159993
21,0.2157984
22,0.2157583
23,0.2156378
24,0.2155976
25,0.2155173
26,0.2153968
27,0.2153968
28,0.2153164
29,0.2152763
30,0.2151558
31,0.2151156
32,0.2150754
33,0.2150353
34,0.2149951
35,0.2149549
36,0.2149549
37,0.2148746
38,0.2148746
39,0.2147943
40,0.2148344
41,0.2148344
42,0.2147541
43,0.2147541
44,0.2147541
45,0.2147139
46,0.2146336
47,0.2146336
48,0.2146336
49,0.2145935
50,0.2145533
51,0.2145935
52,0.2145131
53,0.2145131
54,0.2145533
55,0.214473
56,0.2145131
57,0.214473
58,0.2144328
59,0.2143926
60,0.2141516
61,0.2140713
62,0.2140311
63,0.2140713
64,0.2140713
65,0.2140311
66,0.213991
67,0.2140311
68,0.2139508
69,0.213991
70,0.214232
71,0.214232
72,0.214232
73,0.2141516
74,0.2141918
75,0.2141516
76,0.2141115
77,0.2141115
78,0.2141918
79,0.2141516
80,0.2141918
81,0.2141918
82,0.2141115
83,0.2141115
84,0.2140713
85,0.2141115
86,0.2141115
87,0.2141115
88,0.2141115
89,0.2141115
90,0.2140713
91,0.2140713
92,0.213991
93,0.2140713
94,0.213991
95,0.213991
96,0.213991
97,0.213991
98,0.213991
99,0.213991
100,0.2139508
101,0.2139106
102,0.2139508
103,0.2139106
104,0.2139508
105,0.2139106
106,0.2139106
107,0.2138705
108,0.2139106
109,0.2139106
110,0.2139106
111,0.2138705
112,0.2138705
113,0.2137901
114,0.2138303
115,0.2138705
116,0.2138303
117,0.2138303
118,0.2138303
119,0.2138303
120,0.2138303
121,0.2138705
122,0.2138705
123,0.2138303
124,0.2138705
125,0.2138705
126,0.2138705
127,0.2138303
128,0.2139106
129,0.2138303
130,0.2138303
131,0.2138705
132,0.2138303
133,0.2138303
134,0.2138705
135,0.2138705
136,0.2137901
137,0.2138303
138,0.2138303
139,0.2138303
140,0.21375
141,0.2137901
142,0.21375
143,0.2137901
144,0.21375
145,0.2137901
146,0.21375
147,0.2137901
148,0.21375
149,0.2137901
150,0.2136295
151,0.2136295
152,0.2136295
153,0.2135893
154,0.2135893
155,0.2136696
156,0.2136295
157,0.2135893
158,0.2135893
159,0.2135491
160,0.2134688
161,0.2134688
162,0.2134688
163,0.2134688
164,0.2134286
165,0.2134688
166,0.2134688
167,0.213509
168,0.2134286
169,0.2134688
170,0.2137098
171,0.21375
172,0.21375
173,0.21375
174,0.2137901
175,0.21375
176,0.2137098
177,0.2136696
178,0.2137098
179,0.2137098
180,0.2137098
181,0.2137098
182,0.2137098
183,0.2136696
184,0.21375
185,0.2137098
186,0.2136696
187,0.2136696
188,0.2137098
189,0.2136696
190,0.2137901
191,0.2137098
192,0.21375
193,0.2137098
194,0.2137098
195,0.21375
196,0.21375
197,0.2137098
198,0.21375
199,0.2137098
200,0.2133885
201,0.2133885
202,0.2134286
203,0.2133885
204,0.2133885
205,0.2134286
206,0.2133483
207,0.2134286
208,0.2133483
209,0.2133483
210,0.2134688
211,0.2134688
212,0.2134688
213,0.2134286
214,0.2134286
215,0.2134688
216,0.2134286
217,0.2134688
218,0.2134286
219,0.2134286
220,0.2136696
221,0.2135893
222,0.2136295
223,0.2136295
224,0.2135893
225,0.2136295
226,0.2136295
227,0.2135893
228,0.2135893
229,0.2135893
230,0.2133082
231,0.213268
232,0.2133082
233,0.213268
234,0.213268
235,0.213268
236,0.2133082
237,0.213268
238,0.2132278
239,0.2133082
240,0.2135491
241,0.2135893
242,0.2135893
243,0.2135893
244,0.2135893
245,0.213509
246,0.2135491
247,0.2135893
248,0.213509
249,0.2135893
250,0.2134287
251,0.2134688
252,0.213509
253,0.2134287
254,0.2134688
255,0.213509
256,0.2134287
257,0.213509
258,0.2134688
259,0.2134688
260,0.2134688
261,0.2134287
262,0.2134688
263,0.2134287
264,0.2134287
265,0.213509
266,0.2134688
267,0.2134688
268,0.2134287
269,0.2134688
270,0.2134287
271,0.2134688
272,0.2134287
273,0.2134287
274,0.2134688
275,0.2134287
276,0.2134688
277,0.2134287
278,0.2134688
279,0.2133885
280,0.2133483
281,0.2133483
282,0.2133483
283,0.2133082
284,0.2133483
285,0.2133082
286,0.2133082
287,0.2133483
288,0.2133483
289,0.2133082
290,0.2134688
291,0.2134287
292,0.2134688
293,0.2134287
294,0.2134688
295,0.2134688
296,0.2134287
297,0.213509
298,0.2134688
299,0.2134287
300,0.2134688
301,0.2134287
302,0.2134287
303,0.2134688
304,0.2134688
305,0.2134287
306,0.2134287
307,0.2134287
308,0.2134287
309,0.2134688
310,0.2133483
311,0.2133483
312,0.2133885
313,0.2133885
314,0.2133483
315,0.2133885
316,0.2133082
317,0.2133885
318,0.2133082
319,0.2133483
320,0.2130672
321,0.2131073
322,0.2131475
323,0.2130672
324,0.2131073
325,0.2130672
326,0.2130672
327,0.2131073
328,0.2130672
329,0.2130672
330,0.2133885
331,0.2134688
332,0.2134688
333,0.2133885
334,0.2134688
335,0.2133885
336,0.2134287
337,0.2133885
338,0.2134287
339,0.2134287
340,0.2133885
341,0.2133885
342,0.2133483
343,0.2133885
344,0.2133885
345,0.2133885
346,0.2134287
347,0.2133885
348,0.2134287
349,0.2133885
350,0.2133885
351,0.2134287
352,0.2134287
353,0.2134287
354,0.2133885
355,0.2134287
356,0.2134688
357,0.2133885
358,0.2134688
359,0.2134287
360,0.2133081
361,0.213268
362,0.2133483
363,0.2133483
364,0.213268
365,0.2133483
366,0.2133081
367,0.2133483
368,0.2133483
369,0.2133081
370,0.2131876
371,0.213268
372,0.2132278
373,0.2132278
374,0.213268
375,0.2132278
376,0.2131876
377,0.2132278
378,0.213268
379,0.2131876
380,0.2132278
381,0.213268
382,0.213268
383,0.2131876
384,0.213268
385,0.2132278
386,0.213268
387,0.213268
388,0.2132278
389,0.2133082
390,0.2135893
391,0.2136295
392,0.2135893
393,0.2136295
394,0.2136295
395,0.2135893
396,0.2135893
397,0.2136295
398,0.2135893
399,0.2136295
400,0.2132278
401,0.213268
402,0.213268
403,0.2133081
404,0.213268
405,0.213268
406,0.213268
407,0.2132278
408,0.2133081
409,0.213268
410,0.2135893
411,0.2135893
412,0.2136295
413,0.2135491
414,0.2136295
415,0.2135893
416,0.2135491
417,0.2135491
418,0.2135893
419,0.2135893
420,0.2136295
421,0.2135491
422,0.2136295
423,0.2135893
424,0.2135491
425,0.2136295
426,0.2136295
427,0.2136295
428,0.2135893
429,0.2135893
430,0.2134688
431,0.2134286
432,0.213509
433,0.2134286
434,0.2134286
435,0.2134688
436,0.2133885
437,0.2134286
438,0.2134286
439,0.2134286
440,0.2136295
441,0.2136295
442,0.2135893
443,0.2135893
444,0.2135893
445,0.2135491
446,0.2136295
447,0.2135491
448,0.2136295
449,0.2135893
450,0.2135893
451,0.2136295
452,0.2136295
453,0.2136696
454,0.2135893
455,0.2136295
456,0.2136295
457,0.2136295
458,0.2135893
459,0.2136295
460,0.2135893
461,0.2135491
462,0.2135491
463,0.2135893
464,0.2135491
465,0.2135491
466,0.2135893
467,0.2135491
468,0.2135491
469,0.2135491
470,0.2135893
471,0.2135893
472,0.2135893
473,0.2135893
474,0.2135893
475,0.2135491
476,0.2135893
477,0.2135893
478,0.2135491
479,0.2135893
480,0.2133082
481,0.213268
482,0.213268
483,0.213268
484,0.2133082
485,0.213268
486,0.2133082
487,0.213268
488,0.2133082
489,0.213268
490,0.2136295
491,0.2135893
492,0.2135893
493,0.2135893
494,0.2136295
495,0.2135893
496,0.2135491
497,0.2135893
498,0.2135893
499,0.2136295
500,0.2136295
501,0.2136295
502,0.2136295
503,0.2136295
504,0.2136295
505,0.2136295
506,0.2136295
507,0.2135491
508,0.2127458
509,0.2129467
510,0.2133082
511,0.2133483
512,0.2133483
513,0.2133082
514,0.2133483
515,0.2133483
516,0.2133483
517,0.2133885
518,0.2133483
519,0.2133082
520,0.2136295
521,0.2136295
522,0.2136295
523,0.2136696
524,0.2136295
525,0.2136295
526,0.2136696
527,0.2136696
528,0.2136295
